trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
958,10:19:00,10:19:00,36994,5,0,0,1.7716
958,10:21:00,10:21:00,36995,6,0,0,2.0661
958,10:23:00,10:23:00,36996,7,0,0,2.4739
958,10:24:00,10:24:00,36997,8,0,0,2.7513
958,10:27:00,10:27:00,36998,9,0,0,3.4326
958,10:30:00,10:30:00,37002,10,0,0,4.8544
958,10:31:00,10:31:00,37003,11,0,0,5.5023
958,10:33:00,10:33:00,37004,12,0,0,6.7125
958,10:35:00,10:35:00,37005,13,0,0,7.2748
958,10:37:00,10:37:00,38229,14,0,0,8.1350
958,10:40:00,10:40:00,42673,15,0,0,9.0369
959,10:31:00,10:31:00,39348,1,0,0,0.0000
959,10:34:00,10:34:00,37378,2,0,0,0.8826
959,10:36:00,10:36:00,37377,3,0,0,1.1756
959,10:38:00,10:38:00,37376,4,0,0,1.5225
959,10:40:00,10:40:00,36994,5,0,0,1.7716
959,10:42:00,10:42:00,36995,6,0,0,2.0661
959,10:44:00,10:44:00,36996,7,0,0,2.4739
959,10:45:00,10:45:00,36997,8,0,0,2.7513
959,10:48:00,10:48:00,36998,9,0,0,3.4326
959,10:51:00,10:51:00,37002,10,0,0,4.8544
959,10:52:00,10:52:00,37003,11,0,0,5.5023
959,10:54:00,10:54:00,37004,12,0,0,6.7125
959,10:56:00,10:56:00,37005,13,0,0,7.2748
959,10:58:00,10:58:00,38229,14,0,0,8.1350
959,11:01:00,11:01:00,42673,15,0,0,9.0369
960,10:40:00,10:40:00,39348,1,0,0,0.0000
960,10:43:00,10:43:00,37378,2,0,0,0.8826
960,10:45:00,10:45:00,37377,3,0,0,1.1756
960,10:47:00,10:47:00,37376,4,0,0,1.5225
960,10:49:00,10:49:00,36994,5,0,0,1.7716
960,10:51:00,10:51:00,36995,6,0,0,2.0661
960,10:53:00,10:53:00,36996,7,0,0,2.4739
960,10:54:00,10:54:00,36997,8,0,0,2.7513
960,10:57:00,10:57:00,36998,9,0,0,3.4326
960,11:00:00,11:00:00,37002,10,0,0,4.8544
960,11:01:00,11:01:00,37003,11,0,0,5.5023
960,11:03:00,11:03:00,37004,12,0,0,6.7125
960,11:05:00,11:05:00,37005,13,0,0,7.2748
960,11:07:00,11:07:00,38229,14,0,0,8.1350
960,11:10:00,11:10:00,42673,15,0,0,9.0369
961,10:55:00,10:55:00,39348,1,0,0,0.0000
961,10:58:00,10:58:00,37378,2,0,0,0.8826
961,11:00:00,11:00:00,37377,3,0,0,1.1756
961,11:02:00,11:02:00,37376,4,0,0,1.5225
961,11:04:00,11:04:00,36994,5,0,0,1.7716
961,11:06:00,11:06:00,36995,6,0,0,2.0661
961,11:08:00,11:08:00,36996,7,0,0,2.4739
